year,team_abb,player,college,round,pick,official_key
1997,NYK,John Thomas,Minnesota,1,25,"John Thomas, 1997"
1997,MIA,Charles Smith,New Mexico,1,26,"Charles Smith, 1997"
1997,UTA,Jacque Vaughn,Kansas,1,27,"Jacque Vaughn, 1997"
1997,CHI,Keith Booth,Maryland,1,28,"Keith Booth, 1997"
1997,HOU,Serge Zwikker,UNC,2,29,"Serge Zwikker, 1997"
1997,MIA,Mark Sanford,Washington,2,30,"Mark Sanford, 1997"
1997,DET,Charles O'Bannon,UCLA,2,31,"Charles O'Bannon, 1997"
1997,DEN,James Cotton,Cal State Long Beach,2,32,"James Cotton, 1997"
1997,PHI,Marko Milič,No US College,2,33,"Marko Milič, 1997"
1997,DAL,Bubba Wells,Austin Peay State University,2,34,"Bubba Wells, 1997"
1997,PHI,Kebu Stewart,Cal State-Bakersfield,2,35,"Kebu Stewart, 1997"
1997,PHI,James Collins,Florida State,2,36,"James Collins, 1997"
1997,GSW,Marc Jackson,Temple,2,37,"Marc Jackson, 1997"
1997,MIL,Jerald Honeycutt,Tulane,2,38,"Jerald Honeycutt, 1997"
1997,SAC,Anthony Johnson,College of Charleston,2,39,"Anthony Johnson, 1997"
1997,SEA,Eddie Elisma,Georgia Tech,2,40,"Eddie Elisma, 1997"
1997,DEN,Jason Lawson,Villanova,2,41,"Jason Lawson, 1997"
1997,PHO,Stephen Jackson,Butler County Community College,2,42,"Stephen Jackson, 1997"
1997,MIN,Gordon Malone,West Virginia,2,43,"Gordon Malone, 1997"
1997,CLE,Cedric Henderson,Memphis,2,44,"Cedric Henderson, 1997"
1997,WAS,God Shammgod,Providence,2,45,"God Shammgod, 1997"
1997,ORL,Eric Washington,Alabama,2,46,"Eric Washington, 1997"
1997,POR,Alvin Williams,Villanova,2,47,"Alvin Williams, 1997"
1997,WAS,Predrag Drobnjak,No US College,2,48,"Predrag Drobnjak, 1997"
1997,ATL,Alain Digbeu,No US College,2,49,"Alain Digbeu, 1997"
1997,ATL,Chris Crawford,Marquette,2,50,"Chris Crawford, 1997"
1997,LAL,DeJuan Wheat,Louisville,2,51,"DeJuan Wheat, 1997"
1997,VAN,C.J. Bruton,Indian Hills Community College,2,52,"C.J. Bruton, 1997"
1997,LAL,Paul Rogers,Gonzaga,2,53,"Paul Rogers, 1997"
1997,SEA,Mark Blount,Pitt,2,54,"Mark Blount, 1997"
1997,BOS,Ben Pepper,No US College,2,55,"Ben Pepper, 1997"
1997,UTA,Nate Erdmann,Oklahoma,2,56,"Nate Erdmann, 1997"
1997,CHI,Roberto Duenas,No US College,2,57,"Roberto Duenas, 1997"
1998,LAC,Michael Olowokandi,University of the Pacific,1,1,"Michael Olowokandi, 1998"
1998,VAN,Mike Bibby,Arizona,1,2,"Mike Bibby, 1998"
1998,DEN,Raef LaFrentz,Kansas,1,3,"Raef LaFrentz, 1998"
1998,TOR,Antawn Jamison,UNC,1,4,"Antawn Jamison, 1998"
1998,GSW,Vince Carter,UNC,1,5,"Vince Carter, 1998"
1998,DAL,Robert Traylor,Michigan,1,6,"Robert Traylor, 1998"
1998,SAC,Jason Williams,Florida,1,7,"Jason Williams, 1998"
1998,PHI,Larry Hughes,Saint Louis,1,8,"Larry Hughes, 1998"
1998,MIL,Dirk Nowitzki,No US College,1,9,"Dirk Nowitzki, 1998"
1998,BOS,Paul Pierce,Kansas,1,10,"Paul Pierce, 1998"
1998,DET,Bonzi Wells,Ball State University,1,11,"Bonzi Wells, 1998"
1998,ORL,Michael Doleac,Utah,1,12,"Michael Doleac, 1998"
1998,ORL,Keon Clark,UNLV,1,13,"Keon Clark, 1998"
1998,HOU,Michael Dickerson,Arizona,1,14,"Michael Dickerson, 1998"
1998,ORL,Matt Harpring,Georgia Tech,1,15,"Matt Harpring, 1998"
1998,HOU,Bryce Drew,Valparaiso,1,16,"Bryce Drew, 1998"
1998,MIN,Rasho Nesterović,No US College,1,17,"Rasho Nesterović, 1998"
1998,HOU,Mirsad Türkcan,No US College,1,18,"Mirsad Türkcan, 1998"
1998,MIL,Pat Garrity,Notre Dame,1,19,"Pat Garrity, 1998"
1998,ATL,Roshown McLeod,Duke,1,20,"Roshown McLeod, 1998"
1998,CHH,Ricky Davis,Iowa,1,21,"Ricky Davis, 1998"
1998,LAC,Brian Skinner,Baylor,1,22,"Brian Skinner, 1998"
1998,DEN,Tyronn Lue,Nebraska,1,23,"Tyronn Lue, 1998"
1998,SAS,Felipe López,St. John's,1,24,"Felipe López, 1998"
1998,IND,Al Harrington,No US College,1,25,"Al Harrington, 1998"
1998,LAL,Sam Jacobson,Minnesota,1,26,"Sam Jacobson, 1998"
1998,SEA,Vladimir Stepania,No US College,1,27,"Vladimir Stepania, 1998"
1998,CHI,Corey Benjamin,Oregon State,1,28,"Corey Benjamin, 1998"
1998,UTA,Nazr Mohammed,Kentucky,1,29,"Nazr Mohammed, 1998"
1998,DAL,Ansu Sesay,Ole Miss,2,30,"Ansu Sesay, 1998"
1998,LAL,Ruben Patterson,Cincinnati,2,31,"Ruben Patterson, 1998"
1998,SEA,Rashard Lewis,No US College,2,32,"Rashard Lewis, 1998"
1998,SEA,Jelani McCoy,UCLA,2,33,"Jelani McCoy, 1998"
1998,CHI,Shammond Williams,UNC,2,34,"Shammond Williams, 1998"
1998,DAL,Bruno Šundov,No US College,2,35,"Bruno Šundov, 1998"
1998,SAC,Jerome James,Florida A&M,2,36,"Jerome James, 1998"
1998,PHI,Casey Shaw,Toledo,2,37,"Casey Shaw, 1998"
1998,NYK,DeMarco Johnson,UNC Charlotte,2,38,"DeMarco Johnson, 1998"
1998,MIL,Rafer Alston,Fresno State,2,39,"Rafer Alston, 1998"
1998,DET,Korleone Young,No US College,2,40,"Korleone Young, 1998"
1998,HOU,Cuttino Mobley,Rhode Island,2,41,"Cuttino Mobley, 1998"
1998,ORL,Miles Simon,Arizona,2,42,"Miles Simon, 1998"
1998,WAS,Jahidi White,Georgetown,2,43,"Jahidi White, 1998"
1998,NYK,Sean Marks,California,2,44,"Sean Marks, 1998"
