year,team_abb,player,college,round,pick,official_key
1995,SAS,Cory Alexander,Virginia,1,29,"Cory Alexander, Virginia, 1995"
1995,DET,Lou Roe,UMass,2,30,"Lou Roe, UMass, 1995"
1995,CHI,Dragan Tarlać,No US College,2,31,"Dragan Tarlać, No US College, 1995"
1995,WSB,Terrence Rencher,Texas,2,32,"Terrence Rencher, Texas, 1995"
1995,BOS,Junior Burrough,Virginia,2,33,"Junior Burrough, Virginia, 1995"
1995,GSW,Andrew DeClercq,Florida,2,34,"Andrew DeClercq, Florida, 1995"
1995,TOR,Jimmy King,Michigan,2,35,"Jimmy King, Michigan, 1995"
1995,VAN,Lawrence Moten,Syracuse,2,36,"Lawrence Moten, Syracuse, 1995"
1995,LAL,Frankie King,Western Carolina University,2,37,"Frankie King, Western Carolina University, 1995"
1995,MIL,Rashard Griffith,Wisconsin,2,38,"Rashard Griffith, Wisconsin, 1995"
1995,CLE,Donny Marshall,UConn,2,39,"Donny Marshall, UConn, 1995"
