,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,player
1,Career,Lehigh,,4,0,6,0.0,6.7,0.0,0.0,0.0,,0.0,6.7,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jayshen Saigal
0,2002-03,Virginia Tech,Big East,17,0,136,3.2,6.2,0.524,1.5,3.8,0.385,1.8,2.4,0.75,1.5,2.1,0.7140000000000001,2.6,3.5,1.8,0.6,4.7,1.5,9.7,Markus Sailes
1,2003-04,Virginia Tech,Big East,29,29,927,2.1,5.4,0.384,1.6,3.6,0.429,0.5,1.8,0.293,1.5,2.4,0.607,4.5,3.5,2.0,0.1,1.8,1.9,6.1,Markus Sailes
2,2004-05,Virginia Tech,ACC,3,0,23,0.0,1.7,0.0,0.0,1.7,0.0,0.0,0.0,,1.7,3.5,0.5,3.5,3.5,1.7,0.0,1.7,1.7,1.7,Markus Sailes
3,2005-06,Virginia Tech,ACC,30,16,656,2.5,5.4,0.466,2.2,4.3,0.514,0.3,1.1,0.278,1.4,2.3,0.622,4.1,3.1,2.2,0.2,1.6,2.8,6.7,Markus Sailes
4,2006-07,Virginia Tech,ACC,33,1,519,2.0,4.5,0.44799999999999995,2.0,4.2,0.48100000000000004,0.0,0.3,0.0,1.3,3.2,0.415,3.5,2.7,1.2,0.2,1.1,2.0,5.3,Markus Sailes
5,Career,Virginia Tech,,112,46,2261,2.2,5.2,0.43,1.8,3.9,0.46399999999999997,0.4,1.3,0.324,1.4,2.5,0.5589999999999999,4.1,3.2,1.8,0.2,1.8,2.2,6.3,Markus Sailes
0,2007-08,Middle Tennessee,Sun Belt,15,1,217,7.4,17.1,0.43,4.2,8.5,0.5,3.1,8.7,0.36200000000000004,0.7,1.8,0.4,7.0,2.6,1.8,0.2,4.1,2.9,18.6,Josh Sain
1,2009-10,Tennessee State,OVC,20,17,533,6.9,18.7,0.369,3.8,10.1,0.37,3.2,8.6,0.368,3.6,5.6,0.649,5.9,2.5,2.0,0.2,4.4,2.4,20.6,Josh Sain
2,Career,Overall,,35,18,750,7.0,18.2,0.386,3.9,9.7,0.40299999999999997,3.1,8.6,0.366,2.8,4.5,0.619,6.2,2.5,1.9,0.2,4.3,2.6,20.0,Josh Sain
3,,Middle Tennessee,,15,1,217,7.4,17.1,0.43,4.2,8.5,0.5,3.1,8.7,0.36200000000000004,0.7,1.8,0.4,7.0,2.6,1.8,0.2,4.1,2.9,18.6,Josh Sain
4,,Tennessee State,,20,17,533,6.9,18.7,0.369,3.8,10.1,0.37,3.2,8.6,0.368,3.6,5.6,0.649,5.9,2.5,2.0,0.2,4.4,2.4,20.6,Josh Sain
0,2019-20,Marist,MAAC,30,24,722,3.6,9.5,0.37799999999999995,2.2,5.7,0.382,1.4,3.9,0.371,2.0,4.0,0.493,4.7,1.8,1.9,0.8,2.9,3.2,10.6,Tyler Saint-Furcy
1,2020-21,Marist,MAAC,21,11,328,2.3,5.9,0.396,2.2,4.4,0.5,0.1,1.5,0.083,2.1,3.9,0.531,5.6,1.0,1.3,0.9,2.2,4.8,6.8,Tyler Saint-Furcy
2,Career,Marist,,51,35,1050,3.2,8.4,0.382,2.2,5.3,0.413,1.0,3.1,0.32899999999999996,2.0,4.0,0.505,5.0,1.5,1.8,0.8,2.7,3.7,9.4,Tyler Saint-Furcy
0,2009-10,Grambling,SWAC,28,5,323,2.0,4.8,0.41,2.0,4.8,0.41,0.0,0.0,,2.2,3.6,0.621,7.4,1.0,0.7,0.7,3.1,7.8,6.2,Allan Saint-Gelais
1,2011-12,South Dakota,Summit,27,17,478,4.4,9.7,0.457,3.3,6.4,0.526,1.1,3.3,0.325,2.5,3.3,0.769,4.7,1.6,0.8,0.6,3.0,5.0,12.5,Allan Saint-Gelais
2,Career,Overall,,55,22,801,3.4,7.7,0.445,2.8,5.7,0.48700000000000004,0.6,2.0,0.325,2.4,3.4,0.706,5.8,1.3,0.7,0.6,3.0,6.1,9.9,Allan Saint-Gelais
3,,Grambling,,28,5,323,2.0,4.8,0.41,2.0,4.8,0.41,0.0,0.0,,2.2,3.6,0.621,7.4,1.0,0.7,0.7,3.1,7.8,6.2,Allan Saint-Gelais
4,,South Dakota,,27,17,478,4.4,9.7,0.457,3.3,6.4,0.526,1.1,3.3,0.325,2.5,3.3,0.769,4.7,1.6,0.8,0.6,3.0,5.0,12.5,Allan Saint-Gelais
0,2001-02,Saint Mary's,WCC,24,4,459,2.8,9.2,0.305,2.5,6.9,0.36700000000000005,0.3,2.3,0.115,3.2,4.6,0.698,4.4,4.8,1.7,0.3,3.9,5.8,9.1,Samuel Saint-Jean
1,2002-03,Saint Mary's,WCC,29,29,804,4.0,8.4,0.48200000000000004,2.9,6.5,0.45399999999999996,1.1,1.9,0.579,3.5,4.5,0.78,3.6,5.4,1.5,0.3,4.1,5.2,12.7,Samuel Saint-Jean
2,Career,Saint Mary's,,53,33,1263,3.6,8.6,0.414,2.8,6.6,0.42100000000000004,0.8,2.0,0.391,3.4,4.6,0.75,3.9,5.2,1.6,0.3,4.0,5.4,11.4,Samuel Saint-Jean
0,2016-17,Stony Brook,AEC,32,25,526,4.6,10.3,0.441,4.3,8.7,0.5,0.2,1.7,0.136,1.9,2.7,0.7140000000000001,8.7,0.8,0.8,1.2,2.0,3.6,11.3,Junior Saintel
1,2017-18,Stony Brook,AEC,32,32,685,5.1,11.4,0.449,4.8,10.0,0.48,0.4,1.5,0.24,2.6,4.0,0.662,8.8,1.1,1.7,1.4,2.6,3.9,13.3,Junior Saintel
2,Career,Stony Brook,,64,57,1211,4.9,11.0,0.446,4.6,9.4,0.488,0.3,1.6,0.191,2.3,3.4,0.68,8.7,1.0,1.3,1.3,2.3,3.8,12.4,Junior Saintel
0,2013-14,South Alabama,Sun Belt,31,10,705,3.1,9.5,0.32899999999999996,2.0,5.5,0.371,1.1,4.0,0.271,3.7,5.0,0.7390000000000001,3.5,3.2,1.8,0.1,2.6,5.8,11.0,Aakim Saintil
1,2015-16,LIU,NEC,31,25,906,4.9,13.4,0.368,3.4,7.7,0.44799999999999995,1.5,5.7,0.262,5.9,7.3,0.807,3.0,6.4,2.0,0.0,4.0,4.6,17.3,Aakim Saintil
2,Career,Overall,,62,35,1611,4.1,11.7,0.355,2.8,6.7,0.42100000000000004,1.3,5.0,0.265,4.9,6.3,0.7829999999999999,3.3,5.0,1.9,0.1,3.4,5.1,14.5,Aakim Saintil
3,,South Alabama,,31,10,705,3.1,9.5,0.32899999999999996,2.0,5.5,0.371,1.1,4.0,0.271,3.7,5.0,0.7390000000000001,3.5,3.2,1.8,0.1,2.6,5.8,11.0,Aakim Saintil
4,,LIU,,31,25,906,4.9,13.4,0.368,3.4,7.7,0.44799999999999995,1.5,5.7,0.262,5.9,7.3,0.807,3.0,6.4,2.0,0.0,4.0,4.6,17.3,Aakim Saintil
0,2008-09,VCU,CAA,31,0,240,3.8,8.2,0.469,3.8,8.2,0.469,0.0,0.0,,1.2,3.0,0.389,9.3,0.5,0.8,1.5,2.5,7.3,8.8,Terrance Saintil
1,2009-10,VCU,CAA,26,0,205,5.5,10.3,0.528,5.5,10.3,0.528,0.0,0.0,,1.6,3.1,0.5,9.8,1.4,2.7,1.2,2.0,6.6,12.5,Terrance Saintil
2,Career,VCU,,57,0,445,4.6,9.2,0.5,4.6,9.2,0.5,0.0,0.0,,1.3,3.1,0.441,9.5,0.9,1.7,1.3,2.2,7.0,10.5,Terrance Saintil
0,2013-14,Ole Miss,SEC,33,13,658,3.9,8.3,0.467,3.9,8.3,0.467,0.0,0.0,,2.4,3.7,0.6559999999999999,11.3,0.9,1.4,1.7,1.9,5.0,10.2,Sebastian Saiz
1,2014-15,Ole Miss,SEC,34,32,790,5.3,9.1,0.578,5.3,9.1,0.581,0.0,0.1,0.0,2.5,3.8,0.645,9.4,0.5,1.1,1.7,1.4,5.0,13.0,Sebastian Saiz
2,2015-16,Ole Miss,SEC,26,24,741,6.2,12.6,0.494,6.1,12.1,0.504,0.1,0.5,0.222,3.9,6.0,0.652,12.3,0.9,1.2,1.5,1.9,4.2,16.5,Sebastian Saiz
3,2016-17,Ole Miss,SEC,36,36,1200,6.0,12.9,0.469,5.3,10.4,0.511,0.7,2.4,0.28800000000000003,5.3,7.2,0.7440000000000001,13.6,1.2,1.2,1.3,2.7,3.9,18.1,Sebastian Saiz
